Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
433567,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,"Abbott, Edwin A.",,"=""048627263X""","=""9780486272634""",4,3.81,"Dover Publications, Inc.",Paperback,96,1992,1884,,2024/05/17,,,read,,,,1,0
295,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",N.C. Wyeth,"=""0753453800""","=""9780753453803""",4,3.84,Kingfisher,Hardcover,352,2001,1882,,2024/05/17,,,read,,,,1,0
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",,"=""""","=""""",5,4.17,Warner,Paperback,210,2000,1997,,2024/05/17,,,read,,,,1,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk, William Hootkins, Rockwell Kent, Anton Lomaev","=""0142437247""","=""9780142437247""",2,3.55,Penguin Classics ,Paperback,720,2003,1851,,2024/05/17,,,read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Amanda Lee, Mark Hallaq","=""""","=""9780143039563""",4,3.92,Penguin Classics,Paperback,244,2006,1876,,2024/05/17,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",5,3.80,Scribner,Hardcover,96,1996,1952,,2024/05/17,,,read,,,,1,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""""","=""""",5,4.34,Puffin,Paperback,240,1998,1988,,2024/05/17,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2024/05/17,,,read,,,,1,0
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",4,4.15,Signet Classics,Paperback,449,2004,1868,,2024/05/17,,,read,,,,1,0
51496,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Dan Chaon, Vladimir Nabokov, Jerome Charyn, Simon Vestdijk","=""0451528956""","=""9780451528957""",4,3.83,Signet Classic,Mass Market Paperback,139,2003,1886,,2024/05/17,,,read,,,,1,0
